,product_name,product_full_price,product_off_price,product_discount,shop_loc,shop_name,avg_rating,sold,sold_is_more,category_name
363,xiaomi redmi note 13 pro 5g ram 12/512gb garansi resmi,4820000,0,0,Kediri,Garden Cell Official,5.0,40,1,Handphone
364,Xiaomi Redmi Note 13 8/128 Garansi Resmi Xiaomi Indonesia,2345000,0,0,Jakarta Utara,Prince Gadget Indonesia,0.0,6 ,0,Handphone
365,Xiaomi Redmi Note 13 8/128GB - Garansi Resmi,2460000,0,0,Jakarta Timur,ucell cempaka,0.0,0,0,Handphone
366,Xiaomi Redmi Note 13 8/128 GB Garansi Resmi,2790000,2230000,560000,Jakarta Pusat,Gudang-HP,5.0,30,1,Handphone
367,Xiaomi Redmi Note 13 Pro 5G 12/512GB Garansi Resmi,4999000,0,0,Denpasar,CELLULAR-WORLD,0.0,4 ,0,Handphone
368,Xiaomi Redmi Note 13 8/128GB android,2499000,2399000,100000,Semarang,Hape Joss,0.0,1 ,0,Handphone
369,XIAOMI REDMI NOTE 13 8/128 GB GARANSI RESMI SUPPORT NFC,2345000,0,0,Tangerang,angel 19,5.0,12 ,0,Handphone
370,Xiaomi 14 5G 12/256GB,11999000,11649000,350000,Tangerang,Myfon Teleshop Official,5.0,2 ,0,Handphone
371,XIAOMI REDMI NOTE 13 PRO 5G 12/512 GB RAM 12GB ROM 512GB GARANSI RESMI,5490000,4650000,840000,Bekasi,JJ SHOP PEDIA 2,0.0,0,0,Handphone
372,Xiaomi Redmi Note 13 Pro 5G Garansi Resmi Original 12/512 RAM 12GB ROM 512GB,4999000,0,0,Denpasar,Diamond Handphone Bali,5.0,3 ,0,Handphone
373,Xiaomi Redmi Note 13 Garansi Resmi Original 8/128 RAM 8GB ROM 128GB,2399000,0,0,Denpasar,Diamond Handphone Bali,5.0,8 ,0,Handphone
374,XIAOMI REDMI NOTE 13 5G 8/256GB,3199000,0,0,Cirebon,Tele Ring,0.0,0,0,Handphone
375,XIAOMI REDMI NOTE 13 PRO 4G 8/256GB,3799000,0,0,Cirebon,Tele Ring,0.0,0,0,Handphone
376,XIAOMI REDMI NOTE 13 4G 8/256GB,2799000,0,0,Cirebon,Tele Ring,0.0,0,0,Handphone
377,XIAOMI REDMI NOTE 13 8/128 GB RAM 8GB ROM 128GB GARANSI RESMI,2590000,2220000,370000,Bekasi,JJ SHOP PEDIA 2,0.0,3 ,0,Handphone
378,Xiaomi Redmi Note 13 8/128 GB - Garansi Resmi,2350000,0,0,Jakarta Timur,Wahana Selular,0.0,1 ,0,Handphone
379,Xiaomi Redmi Note 13 8/128 - Garansi Resmi,2499000,0,0,Surabaya,Peace Cell Marina Online,0.0,0,0,Handphone
380,XIAOMI REDMI NOTE 13 8/128 GB GARANSI RESMI TERMURAH,2599000,2443800,155200,Surabaya,Hapemall.id,4.3,13 ,0,Handphone
381,Xiaomi Redmi Note 13 Pro 5G 12/512 - Garansi Resmi Xiaomi Indonesia,4999000,0,0,Surabaya,Peace Cell Marina Online,0.0,0,0,Handphone
382,Xiaomi REDMI NOTE 13 PRO 5G 12/512GB - Garansi Resmi,4990000,4600000,390000,Jakarta Timur,Wahana Selular,5.0,14 ,0,Handphone
383,Xiaomi Redmi Note 13 4G 8/128GB,2399000,0,0,Cimahi,Atlantic Cellular,0.0,0,0,Handphone
384,XIAOMI REDMI NOTE 13 8/128 GB GARANSI RESMI XIAOMI NOTE 13 NFC 8/128 GB REDMI NOTE 13 ,3190000,2220000,970000,Tangerang,STR-STORE,5.0,25 ,0,Handphone
385,Xiaomi Redmi Note 13 4G 8GB/128GB Garansi Resmi Xiaomi Indonesia,2399000,0,0,Medan,INTIKOM STORE,5.0,4 ,0,Handphone
386,Xiaomi 14 12/256 NFC 5G Garansi Resmi,11530000,0,0,Jakarta Pusat,ACS,0.0,0,0,Handphone
387,"Xiaomi Redmi Note 13 Pro 5G (Ram 12GB, Rom 512GB, AMOLED 120Hz)",4999000,0,0,Malang,TIGA PUTRA HP CENTER,5.0,2 ,0,Handphone
388,Xiaomi Redmi Note 13 5G 8/128GB Garansi resmi 1 Tahun,3399000,0,0,Jakarta Barat,36shop,0.0,0,0,Handphone
389,Xiaomi Redmi Note 13 4G 8/128GB Garansi Resmi 1 Tahun,2999000,0,0,Jakarta Barat,36shop,0.0,0,0,Handphone
390,Xiaomi Redmi Note 13 Pro 5G [8GB/ 256GB/ Garansi Resmi],4649000,0,0,Jakarta Barat,FONEL,0.0,0,0,Handphone
391,Xiaomi 14 12/256GB 5G | Xiaomi mi 14 256GB AMOLED Camera LEICA Optical Lens Garansi Resmi,11789000,0,0,Jakarta Pusat,Doran Gadget Bali,0.0,2 ,0,Handphone
392,Xiaomi Redmi Note 13 Pro [8GB/ 256GB/ Garansi Resmi],3799000,0,0,Jakarta Barat,FONEL,0.0,0,0,Handphone
393,Xiaomi Redmi Note 13 8/128 GB Garansi Resmi 8 128 GB not 5G,3090000,2310000,780000,Jakarta Pusat,Digitalisme,5.0,100,1,Handphone
394,Xiaomi Redmi Note 13 5G/4G 8/256Gb Garansi Resmi Tam,3390000,2220000,1170000,Jakarta Selatan,Ini Toko Budi,5.0,40,1,Handphone
395,XIAOMI REDMI NOTE 13 PRO 13PRO 4G 5G 8/256 12/512Ram 8GB 12GB Internal 256GB 512GB Garansi Resmi,3670000,0,0,Jakarta Pusat,Kreasindo Online,5.0,4 ,0,Handphone
396,HANDPHONE XIAOMI REDMI NOTE 13 5G 8/256GB GARANSI RESMI,4500000,0,0,Palembang,MULTIKOM ID,0.0,0,0,Handphone
397,HANDPHONE XIAOMI REDMI A3 4/128GB GARANSI RESMI,1300000,0,0,Palembang,MULTIKOM ID,0.0,0,0,Handphone
398,HANDPHONE XIAOMI REDMI 13C 8/256GB GARANSI RESMI,1900000,0,0,Palembang,MULTIKOM ID,0.0,0,0,Handphone
399,Xiaomi Redmi Note 13 [ 8GB /  128GB ] Smartphone - Garansi Resmi,2499000,0,0,Jakarta Pusat,Gadhet-Holic,0.0,0,0,Handphone
400,HANDPHONE XIAOMI REDMI 13C 6/128GB GARANSI RESMI,1600000,0,0,Palembang,MULTIKOM ID,0.0,0,0,Handphone
401,XIAOMI REDMI NOTE 13 4G 5G 8/128 8/256 Ram 8GB Internal 128GB 256GB Resmi,2340000,0,0,Jakarta Pusat,Kreasindo Online,5.0,3 ,0,Handphone
402,HANDPHONE XIAOMI REDMI 12 8/128GB GARANSI RESMI,1900000,0,0,Palembang,MULTIKOM ID,0.0,0,0,Handphone
403,Xiaomi Redmi Note 13 Pro 5G RAM 12/512GB Garansi Resmi,4999000,0,0,Bandung,Rajaponsel Official,5.0,2 ,0,Handphone
404,Xiaomi Redmi Note 13 Pro 5G 12/512 GB - Garansi Resmi Xiaomi Indonesia,4990000,4610000,380000,Jakarta Utara,Universe Store,5.0,40,1,Handphone
405,Redmi Note 13 8/128 GB - Garansi Resmi Xiaomi Indonesia,2490000,2230000,260000,Jakarta Utara,Universe Store,5.0,24 ,0,Handphone
406,Xiaomi 14 12/256GB Snapdragon 8 Gen 3 | Garansi Resmi ,12999000,11952000,1047000,Tangerang,Ceria Ponsel Official,0.0,0,0,Handphone
407,"Xiaomi 14 12/256GB, Snapdragon 8 Gen 3 Leica 75mm Light Fusion 900 image sensor | Garansi Resmi Xiaomi",12900000,11900000,1000000,Tangerang,Evogad Official,0.0,0,0,Handphone
